HHa																																																																																																																																																																
198440	154549	140366	135673	133093	138267	158316	185903	236211	293083	354954	426359	508105	596886	695245	776169	873600	973197	1084389	1166630	1264683	1377708	1470187	1572605	1670806	1748118	1853949	1945721	2003310	2088935	2209578	2286947	2358436	2408779	2511830	2580916	2646531	2735550	2775037	2898680	2919878	2947060	3036074	3052818	3114813	3182364	3169061	3211188	3258164	3290167	3243425	3235486	3293050	3368515	3329008	3348176	3324458	3371358	3363780	3360854	3353662	3337055	3352412	3351647	3334738	3379603	3366085	3359660	3369293	3315144	3327739	3334706	3351042	3306748	3311862	3292622	3312678	3310367	3309875	3242604	3251034	3234625	3308381	3242974	3248869	3233308	3195525	3183547	3234920	3215426	3162599	3176443	3136296	3127800	3133581	3099185	3105012	3124590	3039657	3070092	3053909	3060710	3054128	3049127	2987952	2990214	2998366	2971219	2959203	2957819	2915268	2913823	2894234	2880565	2861581	2867813	2861140	2840410	2848739	2871472	2807030	2799067	2825198	2837319	2782532	2769621	2780211	2748658	2793139	2798148	2779805	2716884	2753861	2733926	2713624	2742999	2721530	2709328	2696335	2657210	2663774	2698549	2679591	2643306	2649668	2648344	2667372	2626310	2654435	2623276	2651678	2596507	2624129	2622402	2594808	2592616	2573412	2585434	2549028	2551305	2553012
275415	221738	203776	194524	196690	204604	225178	269305	339511	423963	514206	624063	755400	870487	1028144	1179200	1314444	1476737	1618519	1770161	1926695	2065099	2216898	2365408	2517319	2662494	2808561	2941925	3063074	3214278	3389964	3463484	3616004	3701968	3850887	3923351	4055371	4139767	4297875	4390120	4448246	4531760	4636400	4701560	4779242	4836266	4795142	4911386	4972996	4974860	4954548	4978445	5037456	5064509	5094027	5148094	5105474	5189050	5167720	5126714	5156786	5158471	5182304	5138654	5146200	5147437	5145690	5140935	5171908	5117347	5054950	5037476	5055350	5079854	5109176	5014176	5054030	5051844	4999412	4945708	4905506	4920071	4959387	4824486	4889275	4863814	4794247	4828600	4828258	4730171	4727084	4676722	4706264	4703408	4664848	4596576	4589014	4556302	4590064	4525609	4545327	4529670	4498452	4474600	4433272	4379809	4394876	4328712	4303537	4277741	4242892	4239130	4212486	4167777	4177246	4164459	4121350	4117750	4119952	4087240	4036846	4018088	4012947	4029952	3946159	3967391	3952352	3943501	3938403	3938058	3918486	3850855	3876800	3879152	3849925	3857186	3848482	3819549	3826961	3755309	3772211	3793034	3756113	3749069	3733840	3737974	3695544	3696094	3707447	3719854	3650428	3655662	3684231	3660294	3663518	3593673	3622716	3599640	3575912	3571128	3572827
275574	223824	203903	191970	190815	202124	227641	268191	329552	411990	507295	610338	739350	851636	1005503	1148742	1278111	1432002	1596846	1710428	1883785	2022167	2180725	2337154	2468679	2606961	2768526	2888030	3005030	3167364	3330809	3447876	3577652	3656494	3831380	3913794	4024144	4139461	4205600	4362494	4432760	4546242	4640614	4748540	4756930	4787988	4778489	4958716	4984041	5008102	4999761	5019922	5071814	5072146	5131322	5186476	5157350	5153135	5197359	5193340	5209965	5184398	5217562	5122582	5196229	5164213	5177616	5179875	5185533	5146359	5119404	5164156	5173128	5091032	5083226	5052412	5069158	5103062	5082762	5036651	5012412	4995434	4987746	4917977	4954528	4900004	4938848	4853509	4884898	4826047	4804489	4780846	4803110	4716556	4759339	4698428	4725160	4637589	4614575	4626187	4594430	4611276	4579034	4542011	4467710	4478025	4476212	4456865	4393506	4388154	4325556	4337774	4305310	4228556	4257249	4217322	4202134	4179200	4200263	4176334	4110354	4072083	4089830	4091772	4066942	4059666	4005327	4033971	4061509	4054094	4030354	3973554	4003668	3981048	3942212	3929486	3926185	3921334	3912295	3881674	3864884	3902528	3845071	3850383	3875111	3819716	3821213	3822802	3810023	3750876	3786198	3731401	3779526	3748685	3744082	3711868	3704390	3717627	3701968	3669096	3672611
																																																																																																																																																																
HHr																																																																																																																																																																
59450	68113	69308	72677	76058	73924	58541	67427	81839	76354	58692	89745	100877	79873	119872	137681	179967	256735	269040	369154	474859	572854	686471	808865	969093	1127184	1238650	1509117	1705144	1856110	2052921	2217556	2418514	2647222	2874893	3025750	3494046	3546622	3777972	3937924	4197647	4253383	4544669	4862773	5006980	5133703	5218388	5481740	5628720	5746141	5973705	5907580	6184246	6412758	6499308	6788324	6674389	6551119	6700244	6903810	7043099	7084863	7097558	7097492	7345183	7344641	7179390	7452056	7251684	7359653	7591730	7305111	7514381	7557230	7485424	7512690	7532737	7643526	7748764	7588411	7730404	7785513	7674190	7679741	7518818	7610130	7443104	7529952	7817269	7829519	7551664	7712016	7660776	7648542	7581725	7503789	7635730	7695270	7436988	7587842	7817190	7863861	7736950	7763118	7778092	7537203	7938264	7711876	7669564	7556672	7454340	7762454	7719048	7427098	7580023	7688452	7802963	7786822	7745085	7939094	7698440	7714528	7580016	7835209	7683420	7603920	7604479	7525540	7736273	7624514	7738496	7629534	7651768	7705724	7764648	7662344	7616738	7612840	7699050	7589488	7645122	7825402	7685194	7723547	7568355	7744142	7553334	7653474	7796973	7706314	7630098	7660666	7773578	7778060	7747451	7724634	7602284	7750189	7564458	7799663	7659022
67157	62620	62703	71571	57319	79435	69582	72959	50869	78573	68663	93062	87581	93178	118753	132130	184397	293369	302371	478090	537139	661797	878964	1038005	1213895	1445460	1654930	1937518	2236938	2501306	2845779	3000128	3431734	3623641	4063797	4314056	4738724	4980597	5445548	5835391	6003533	6469714	6516710	7095958	7348068	7433436	7930250	8165977	8523122	8569311	8804336	8881507	9180165	9541776	9839655	10134528	10163492	10373567	10752869	10719135	11062746	11064159	11076926	11385972	11189937	11592558	11476731	11657155	11830416	11631024	11633766	11874734	12024928	12048524	12012875	11702672	12077491	12202951	11939759	12159061	11945097	11805803	12041366	12003700	12044049	12014845	11866217	12006617	11865737	12064109	12043614	11880940	12017531	12049850	12197379	11835113	12250383	11955411	12040272	12124060	12043407	12087520	11933603	11999542	11942335	11851911	11907179	11893345	12074389	12018957	11916793	11968407	12053028	12076838	12026092	11950181	12120240	11845896	11719076	11992743	11816241	11828097	11796079	11748368	11932434	11985375	11688535	11976705	11916151	11764565	11791763	11552599	12008713	11915680	12025865	11922765	11965300	12048786	11908292	11765556	12037200	11895572	11946555	11914736	11901140	12114020	11845862	11891995	12093981	11769516	11677355	11893584	12107783	11926340	11826545	11731296	11709893	12205744	11811688	11753807	11619462
46239	59325	71503	63863	66133	87158	80627	42004	68563	70821	80840	84205	85357	67665	105435	162109	179941	248937	294589	452483	501550	638438	826668	997950	1212782	1495540	1661608	1907465	2153614	2356738	2618794	3022405	3339635	3723652	3964327	4248610	4621254	4866874	5082798	5629114	5714969	6392286	6538380	6702322	6998474	7299096	7512636	7982010	8480897	8393064	8662308	8962196	9197077	9317409	9800660	10099623	9802166	10141182	10338635	10445186	10589841	10812521	10808546	11079968	11129560	11200828	11206108	11672748	11300206	11394883	11462523	11612007	11706161	11507383	11532473	11592632	11438896	11858898	11748723	11669248	11648683	11775962	11819803	11800857	11778190	11828574	11677401	11843931	11898295	11764325	11545578	11698217	11687328	11675427	11791806	11681757	11579264	11563601	11728799	11885874	11707883	11828673	11923171	11846974	11645069	11681809	11650288	11677355	11762093	11425994	11596524	11636074	11776431	11631280	11562290	11599863	11527211	11690153	11820551	11608688	11800284	11621696	11586105	11789783	11684843	11545274	11507715	11779395	11610138	11778786	11809566	11607395	11902965	11680594	11800800	11713735	11727092	11648062	11591296	11668606	11642752	11642843	11664855	11761969	11618349	11549324	11610556	11836322	11893584	11642587	11546246	11651146	11867343	11602168	11704830	11548999	11609442	11605427	11539508	11569295	11530077
																																																																																																																																																																
LHa																																																																																																																																																																
